Enchanting,Item ID,Item Level,Item Name,Required Level,Usage
550.0,93456.0,458.0,精製驚懼鬥士懼鎧腿甲,90.0,腿部
325.0,36327.0,146.0,霍葛萊盔帽,71.0,頭部
,718.0,22.0,鱗甲手套,17.0,手
100.0,9850.0,36.0,咒術師披肩,31.0,肩部
175.0,10126.0,54.0,華麗護腕,49.0,手腕
200.0,10138.0,59.0,高等參事披風,54.0,背部
350.0,36004.0,154.0,冰霧軟靴,73.0,腳
350.0,36015.0,158.0,瑟希斯兜帽,74.0,頭部
550.0,82427.0,450.0,爭奪者絲質裹足,90.0,腳
25.0,14373.0,25.0,血紅腰帶,20.0,腰部
350.0,36356.0,162.0,霜掌護脛,75.0,腳
450.0,67037.0,300.0,約束應允,81.0,飾品
1.0,68753.0,10.0,灌魔步兵護腕,5.0,手腕
125.0,18296.0,45.0,神射手手環,40.0,手腕
550.0,93548.0,458.0,精製驚懼鬥士矯捷臂鎧,90.0,手腕
175.0,15175.0,51.0,高效盔帽,46.0,頭部
100.0,15918.0,38.0,咒術師之球,33.0,副手物品
1.0,3310.0,18.0,蠻族布質外衣,13.0,胸部
125.0,4738.0,42.0,帝王皮帶,37.0,腰部
225.0,10270.0,63.0,精工長靴,58.0,腳
200.0,13007.0,58.0,法師烈焰披風,53.0,背部
275.0,24659.0,108.0,聯合團披肩,66.0,肩部
325.0,39088.0,142.0,鈷藍長靴,70.0,腳
325.0,40668.0,142.0,鈷藍三角盾,70.0,盾牌
325.0,40950.0,150.0,尖刺鈷藍護肩,72.0,肩部
325.0,41114.0,179.0,淬鍛薩鋼護手,78.0,手
550.0,87487.0,450.0,特布斯特的壯麗之盾,85.0,盾牌
25.0,6565.0,22.0,幻光手套,17.0,手
350.0,36390.0,178.0,亡魄護手,79.0,手
325.0,40949.0,146.0,尖刺鈷藍長靴,71.0,腳
275.0,24651.0,105.0,艾斯特蘭肩墊,65.0,肩部
275.0,24913.0,120.0,虛空風暴護手,70.0,手
475.0,94214.0,429.0,羅亞縛靈者之碟,90.0,盾牌
550.0,98825.0,476.0,精製狠毒鬥士絲質手甲,90.0,手
50.0,14184.0,30.0,看守者長袍,25.0,胸部（長袍）
125.0,7469.0,44.0,華貴護腿,39.0,腿部
175.0,43664.0,55.0,翔雲手冊,50.0,副手物品
175.0,15077.0,51.0,重型蠍殼護腕,46.0,手腕
75.0,7065.0,33.0,綠色絲甲,28.0,胸部
200.0,15069.0,57.0,霜刃護腿,52.0,腿部
325.0,36110.0,150.0,鄙掠手套,72.0,手
25.0,39894.0,25.0,暗布護肩,20.0,肩部
325.0,43870.0,179.0,明亮薩鋼頭盔,78.0,頭部
375.0,45322.0,219.0,鐵之議會披風,80.0,背部
475.0,76160.0,378.0,龍殿披氅,85.0,背部
200.0,12026.0,59.0,水銀墜飾,54.0,頸部
325.0,44681.0,183.0,泰坦鋼腦部機械,76.0,手指
100.0,7474.0,40.0,華貴披風,35.0,背部
,3428.0,1.0,普通的灰襯衣,,襯衣
50.0,3483.0,27.0,鍍銀青銅護手,22.0,手
225.0,14464.0,64.0,月語絲袍,59.0,胸部（長袍）
100.0,14598.0,40.0,典獄官腰環,35.0,腰部
100.0,15364.0,36.0,狡詐披風,31.0,背部
350.0,36003.0,154.0,冰霧束帶,73.0,腰部
350.0,36375.0,170.0,海怪頭盔,77.0,頭部
425.0,55312.0,295.0,奈杉德披風,81.0,背部
550.0,82968.0,463.0,精工輕化鋼鐵盾牌,90.0,盾牌
25.0,3065.0,23.0,陽炎長靴,18.0,腳
275.0,24638.0,102.0,迷霧蘆葦長靴,64.0,腳
275.0,24644.0,102.0,迷霧蘆葦護腕,64.0,手腕
125.0,7524.0,44.0,薄紗斗篷,39.0,背部
225.0,10366.0,63.0,惡魔衛士,58.0,盾牌
50.0,14188.0,27.0,喚雨者披風,22.0,背部
225.0,24725.0,93.0,退化之索,61.0,腰部
350.0,36373.0,170.0,海怪胸甲,77.0,胸部
550.0,87458.0,433.0,鑲骨扇,83.0,副手物品
550.0,93504.0,458.0,精製驚懼鬥士殘虐腰環,90.0,腰部
,6787.0,1.0,白色毛絨裙,,胸部（長袍）
225.0,24966.0,99.0,爪衛束腰,63.0,腰部
350.0,36394.0,178.0,亡魄護腕,79.0,手腕
425.0,55309.0,278.0,水光披風,78.0,背部
